"SECTOR","STATE","STATE_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fuel Comb - Industrial Boilers, ICEs - Coal","MA","25","Nitrogen Oxides","CAP","0","TON"
"Solvent - Degreasing","MA","25","Carbon Monoxide","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","MA","25","Volatile Organic Compounds","CAP","0","TON"
"Industrial Processes - Pulp & Paper","MA","25","Nitrogen Oxides","CAP","0","TON"
"Industrial Processes - Pulp & Paper","MA","25","Ammonia","CAP","0","TON"
"Industrial Processes - Cement Manuf","MA","25","PM2.5 Primary (Filt + Cond)","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","MA","25","Sulfur Dioxide","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","MA","25","Ammonia","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","MA","25","PM10 Primary (Filt + Cond)","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","MA","25","Carbon Monoxide","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","MA","25","Elemental Carbon portion of PM2.5-PRI","","0","TON"
"Fuel Comb - Comm/Institutional - Coal","MA","25","Volatile Organic Compounds","CAP","0","TON"
"Dust - Construction Dust","MA","25","Elemental Carbon portion of PM2.5-PRI","","0","TON"
"Industrial Processes - Pulp & Paper","MA","25","Lead","CAP/HAP","0","LB"
"Fuel Comb - Comm/Institutional - Coal","MA","25","Carbon Monoxide","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","MA","25","Organic Carbon portion of PM2.5-PRI","","0","TON"
